District Name,Block/Tehsil Name,water_body_name,latitude_dec,longitude_dec
NORTH WEST,SARASWATI VIHAR,Village Mangolpur kalan,28.700833,77.113056
NORTH WEST,SARASWATI VIHAR,village mangolpur kalan,28.703056,77.111389
NORTH WEST,SARASWATI VIHAR,village mangolpur kalan,28.698333,77.107222
NEW DELHI,DELHI CANT.,Dda  land ,28.572778,77.07
SOUTH,SAKET,Sahoorpur ,28.474444,77.19
SOUH WEST,NAJAFGARH,Opposite of Govt School in village ,28.606111,76.938333
SOUH WEST,NAJAFGARH,Near Jharoda Kalan Extension,28.649722,76.945833
SOUH WEST,DWARKA,NA,28.618889,77.000278
SOUH WEST,NAJAFGARH,NEAR BY DADA BUDHA TEMPLE  DHANSA VILLAGE,28.558611,76.866667
SOUH WEST,NAJAFGARH,Opposite Synthetic Track,28.617222,76.929722
SOUTH,MEHRAULI,SANJAY VAN,28.531944,77.175
SOUTH,MEHRAULI,SANJAY VAN,28.530833,77.170833
SOUTH,MEHRAULI,SANJAY VAN,28.530833,77.170833
SOUH WEST,NAJAFGARH,near Temple,28.610556,76.893611
SOUH WEST,NAJAFGARH,Near Vyayamshala ,28.5575,76.865556
SOUH WEST,NAJAFGARH,ON THE LINK ROAD OF MUNDELLA KALAN TO MUNDELLA KHURD VILLAGE,28.609167,76.912222
NEW DELHI,VASANT VIHAR,Forest area,28.537778,77.157778
SOUTH,MEHRAULI,MEHRAULI KISHANGARH ,28.517222,77.180833
NORTH WEST,ROHINI,Park Near Jalebi Chowk,28.693333,77.073056
SOUH WEST,NAJAFGARH,Near BSES Offie in Mitraon,28.6075,76.950556
SOUH WEST,NAJAFGARH,Back side of  Laxmi Narayan Mandir,28.583056,76.884444
SOUH WEST,NAJAFGARH,Near by Government School,28.641111,76.985
SOUH WEST,NAJAFGARH,Agriculture field near village temple ,28.580833,76.900278
SOUH WEST,NAJAFGARH,Kair Phirni to Rawta more ,28.611944,76.915833
SOUH WEST,NAJAFGARH,Mundella Kalan to Main Dhansa Road,28.603056,76.898889
NEW DELHI,VASANT VIHAR,JNU Campus,28.542778,77.161667
NORTH WEST,SARASWATI VIHAR,Vaccant land,28.698056,77.118889
NORTH,MODEL TOWN,NA,28.707222,77.193889
SOUH WEST,DWARKA,Kakrola,28.608889,77.019444
SOUH WEST,KAPAS HERA,Near kana lal chand road,28.5625,77.007222
WEST,PATEL NAGAR,NA,28.658889,77.136667
SOUH WEST,DWARKA,Kakrola,28.6075,77.019444
SOUH WEST,KAPAS HERA,Near ITBP boundary wall,28.549444,77.009444
WEST,PATEL NAGAR,BUDHELA WATERBODY NEAR MCD PRIMARY SCHOOL BUDHELA,28.638889,77.068056
NEW DELHI,DELHI CANT.,Todapur waterbody near hermanos industries pvt ltd,28.622222,77.158889
EAST,NA,NA,28.603333,77.3225
EAST,NA,NA,28.629167,77.305278
SOUTH,MEHRAULI,FOREST LAND,28.517778,77.181111
NORTH,ALIPUR,Jindpur water body,28.802778,77.161111
EAST,NA,NA,28.623056,77.289167
CENTRAL,CIVIL LINES,Jharoda Mazra Burari,28.733333,77.21
CENTRAL,CIVIL LINES,Jhordha Mazra Burari,28.733889,77.219167
NORTH WEST,KANJHAWLA,NA,28.693611,76.996944
NORTH EAST,KARAWAL NAGAR,NA,28.742778,77.220556
EAST,PREET VIHAR,NA,28.709722,77.251667
CENTRAL,NA,RED FORT BAOLI,28.661111,77.240556
NORTH EAST,YAMUNA VIHAR,NA,28.706944,77.309444
EAST,NA,NA,28.640278,77.299722
NORTH,ALIPUR,Tehri Daulatpur water body,28.791389,77.197222
EAST,MAYUR VIHAR,NA,28.592778,77.299444
EAST,PREET VIHAR,NA,28.711944,77.2525
NORTH,ALIPUR,Mohammadpur Water Body,28.808889,77.1875
EAST,NA,NA,28.630278,77.275
EAST,NA,NA,28.6275,77.278611
NORTH EAST,SEELAMPUR,NA,28.692222,77.266667
NORTH,ALIPUR,Singhu Water body ,28.86,77.133611
NORTH,ALIPUR,Tajpur Water body ,28.839722,77.169167
NORTH EAST,KARAWAL NAGAR,NA,28.741667,77.224444
NORTH,ALIPUR,Akbarpur Majra Water Body,28.836944,77.183611
NORTH,ALIPUR,Tigipur Water Body,28.824722,77.188056
NORTH,ALIPUR,Hamidpur Water Body,28.828889,77.149444
NORTH,ALIPUR,BAKHTAWARPUR WATER BODY,28.828889,77.163056
NORTH EAST,SEELAMPUR,NA,28.6925,77.267222
NORTH EAST,SEELAMPUR,NA,28.709722,77.262778
NORTH EAST,SEELAMPUR,NA,28.689444,77.253889
NORTH,ALIPUR,Tajpur Water body ,28.835833,77.1675
NORTH,ALIPUR,Tajpur Water body ,28.839444,77.171667
SOUH EAST,DEFENCE COLONY,KILOKARI,28.576667,77.268611
NORTH,ALIPUR,Hiranki Water Body,28.801111,77.180556
NORTH,ALIPUR,Akbarpur Majra Water Body,28.834444,77.181389
NORTH,ALIPUR,Hamidpur water body,28.828333,77.149722
SOUTH,HAUZ KHAS,Inside NCERT premises,28.54,77.191389
SOUTH,HAUZ KHAS,OPEN LAND IN UNAUTHORISED AREA,28.531667,77.217778
SOUTH,HAUZ KHAS,Hauz Khas monuments,28.552778,77.1925
SOUTH,HAUZ KHAS,Humayunpur,28.561111,77.195
SOUTH,HAUZ KHAS,IIT delhi,28.544444,77.198333
SOUTH,HAUZ KHAS,Govt School Begumpur Village,28.538611,77.207222
SOUTH,MEHRAULI,KATWARIA SARAI WB,28.538889,77.178889
SOUH EAST,DEFENCE COLONY,Okhla,28.566111,77.293056
SOUH EAST,SARITA VIHAR,Badarpur,28.508056,77.285
SOUTH,MEHRAULI,NCC camp,28.4775,77.157222
SOUH EAST,SARITA VIHAR,Madan Pur Khadar,28.527778,77.315833
SOUTH,MEHRAULI,Sultan pur area,28.49,77.161389
SOUTH,MEHRAULI,Sultanpur,28.494722,77.163889
SOUTH,SAKET,neb sarai forest ,28.499722,77.205278
NORTH WEST,ROHINI,NA,28.700556,77.023056
NORTH,ALIPUR,Nangli Poona,28.771944,77.144167
NORTH,ALIPUR,Ibrahimpur,28.773611,77.176667
NORTH,ALIPUR,Akburpur Mazra,28.834444,77.181389
NORTH,ALIPUR,Bakoli Water Body ,28.807778,77.15
NORTH,ALIPUR,Fatehpur Jat Water Body,28.809444,77.1925
NORTH EAST,SEELAMPUR,NA,28.711389,77.255556
NORTH EAST,KARAWAL NAGAR,NA,28.726944,77.269444
NORTH,ALIPUR,ZINDPUR,28.793056,77.155
NORTH,ALIPUR,Bakhtawarpur Water Body,28.821389,77.172222
NORTH,ALIPUR,Hiranki water body,28.807222,77.168611
NORTH,ALIPUR,Tigipur Water Body,28.821944,77.188611
CENTRAL,NA,Burari Garhi Shakti Enclave,28.755833,77.191944
NORTH EAST,KARAWAL NAGAR,NA,28.75,77.256389
CENTRAL,NA,RAJGHAT,28.6425,77.245556
CENTRAL,NA,Firoz Shah Kotla Baoli,28.633611,77.248889
SOUTH,SAKET,Asola Jhod,28.454167,77.208889
SOUTH,SAKET,ASOLA FOREST,28.452222,77.208333
SOUTH,SAKET,MCD SCHOOL,28.456944,77.186667
SOUH EAST,DEFENCE COLONY,Park,28.565,77.2225
SOUTH,HAUZ KHAS,Park in said area,28.558056,77.217222
SOUTH,MEHRAULI,Bus Stand Johad,28.475278,77.130278
SOUTH,MEHRAULI,Near animal hospital,28.464722,77.153611
SOUTH,SAKET,BSF Camp,28.511944,77.239722
SOUTH,SAKET,Back side of Satbari,28.473611,77.206111
SOUTH,SAKET,Devli ,28.493611,77.247222
